TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
ENSBTAT00000068013	ENSBTAE00000477392	3_0	ENSBTAT00000068013	ENSBTAE00000470347	16_0	bos_taurus	29	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000068013	ENSBTAE00000477392	3_0	ENSBTAT00000073787	ENSBTAE00000470347	16_0	bos_taurus	29	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000068013	ENSBTAE00000477392	3_0	ENSBTAT00000073787	ENSBTAE00000470347	16_0	bos_taurus	29	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000068013	ENSBTAE00000477392	3_0	ENSBTAT00000084232	ENSBTAE00000470347	16_0	bos_taurus	29	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000068013	ENSBTAE00000477392	3_0	ENSBTAT00000084232	ENSBTAE00000470347	16_0	bos_taurus	29	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000073787	ENSBTAE00000477392	3_0	ENSBTAT00000032743	ENSBTAE00000470347	16_0	bos_taurus	29	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000073787	ENSBTAE00000477392	3_0	ENSBTAT00000032743	ENSBTAE00000470347	16_0	bos_taurus	29	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000073787	ENSBTAE00000477392	3_0	ENSBTAT00000068013	ENSBTAE00000470347	16_0	bos_taurus	29	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000073787	ENSBTAE00000477392	3_0	ENSBTAT00000068013	ENSBTAE00000470347	16_0	bos_taurus	29	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000073787	ENSBTAE00000477392	3_0	ENSBTAT00000073787	ENSBTAE00000470347	16_0	bos_taurus	29	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000073787	ENSBTAE00000477392	3_0	ENSBTAT00000073787	ENSBTAE00000470347	16_0	bos_taurus	29	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000073787	ENSBTAE00000477392	3_0	ENSBTAT00000084232	ENSBTAE00000470347	16_0	bos_taurus	29	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000073787	ENSBTAE00000477392	3_0	ENSBTAT00000084232	ENSBTAE00000470347	16_0	bos_taurus	29	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000084232	ENSBTAE00000477392	3_0	ENSBTAT00000032743	ENSBTAE00000470347	16_0	bos_taurus	29	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000084232	ENSBTAE00000477392	3_0	ENSBTAT00000032743	ENSBTAE00000470347	16_0	bos_taurus	29	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000084232	ENSBTAE00000477392	3_0	ENSBTAT00000068013	ENSBTAE00000470347	16_0	bos_taurus	29	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000084232	ENSBTAE00000477392	3_0	ENSBTAT00000068013	ENSBTAE00000470347	16_0	bos_taurus	29	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000084232	ENSBTAE00000477392	3_0	ENSBTAT00000073787	ENSBTAE00000470347	16_0	bos_taurus	29	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000084232	ENSBTAE00000477392	3_0	ENSBTAT00000073787	ENSBTAE00000470347	16_0	bos_taurus	29	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000084232	ENSBTAE00000477392	3_0	ENSBTAT00000084232	ENSBTAE00000470347	16_0	bos_taurus	29	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000084232	ENSBTAE00000477392	3_0	ENSBTAT00000084232	ENSBTAE00000470347	16_0	bos_taurus	29	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000032743	ENSBTAE00000470347	16_0				bos_taurus	4	GSE41637												0.0																								0.0																					0.0				
ENSBTAT00000068013	ENSBTAE00000470347	16_0				bos_taurus	4	GSE41637												0.0																								0.0																					0.0				
ENSBTAT00000073787	ENSBTAE00000470347	16_0				bos_taurus	4	GSE41637												0.0																								0.0																					0.0				
ENSBTAT00000084232	ENSBTAE00000470347	16_0				bos_taurus	4	GSE41637												0.0																								0.0																					0.0				
ENSBTAT00000032743	ENSBTAE00000470347	16_0	ENSBTAT00000032743	ENSBTAE00000448427	8_0	bos_taurus	30	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000032743	ENSBTAE00000470347	16_0	ENSBTAT00000032743	ENSBTAE00000448427	8_0	bos_taurus	30	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000032743	ENSBTAE00000470347	16_0	ENSBTAT00000068013	ENSBTAE00000448427	8_0	bos_taurus	30	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000032743	ENSBTAE00000470347	16_0	ENSBTAT00000068013	ENSBTAE00000448427	8_0	bos_taurus	30	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000032743	ENSBTAE00000470347	16_0	ENSBTAT00000073787	ENSBTAE00000448427	8_0	bos_taurus	30	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000032743	ENSBTAE00000470347	16_0	ENSBTAT00000073787	ENSBTAE00000448427	8_0	bos_taurus	30	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000032743	ENSBTAE00000470347	16_0	ENSBTAT00000084232	ENSBTAE00000448427	8_0	bos_taurus	30	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000032743	ENSBTAE00000470347	16_0	ENSBTAT00000084232	ENSBTAE00000448427	8_0	bos_taurus	30	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000068013	ENSBTAE00000470347	16_0	ENSBTAT00000032743	ENSBTAE00000448427	8_0	bos_taurus	30	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000068013	ENSBTAE00000470347	16_0	ENSBTAT00000032743	ENSBTAE00000448427	8_0	bos_taurus	30	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000068013	ENSBTAE00000470347	16_0	ENSBTAT00000068013	ENSBTAE00000448427	8_0	bos_taurus	30	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000068013	ENSBTAE00000470347	16_0	ENSBTAT00000068013	ENSBTAE00000448427	8_0	bos_taurus	30	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000068013	ENSBTAE00000470347	16_0	ENSBTAT00000073787	ENSBTAE00000448427	8_0	bos_taurus	30	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000068013	ENSBTAE00000470347	16_0	ENSBTAT00000073787	ENSBTAE00000448427	8_0	bos_taurus	30	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000068013	ENSBTAE00000470347	16_0	ENSBTAT00000084232	ENSBTAE00000448427	8_0	bos_taurus	30	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000068013	ENSBTAE00000470347	16_0	ENSBTAT00000084232	ENSBTAE00000448427	8_0	bos_taurus	30	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000073787	ENSBTAE00000470347	16_0	ENSBTAT00000032743	ENSBTAE00000448427	8_0	bos_taurus	30	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000073787	ENSBTAE00000470347	16_0	ENSBTAT00000032743	ENSBTAE00000448427	8_0	bos_taurus	30	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000073787	ENSBTAE00000470347	16_0	ENSBTAT00000068013	ENSBTAE00000448427	8_0	bos_taurus	30	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000073787	ENSBTAE00000470347	16_0	ENSBTAT00000068013	ENSBTAE00000448427	8_0	bos_taurus	30	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000073787	ENSBTAE00000470347	16_0	ENSBTAT00000073787	ENSBTAE00000448427	8_0	bos_taurus	30	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000073787	ENSBTAE00000470347	16_0	ENSBTAT00000073787	ENSBTAE00000448427	8_0	bos_taurus	30	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000073787	ENSBTAE00000470347	16_0	ENSBTAT00000084232	ENSBTAE00000448427	8_0	bos_taurus	30	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000073787	ENSBTAE00000470347	16_0	ENSBTAT00000084232	ENSBTAE00000448427	8_0	bos_taurus	30	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000084232	ENSBTAE00000470347	16_0	ENSBTAT00000032743	ENSBTAE00000448427	8_0	bos_taurus	30	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000084232	ENSBTAE00000470347	16_0	ENSBTAT00000032743	ENSBTAE00000448427	8_0	bos_taurus	30	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000084232	ENSBTAE00000470347	16_0	ENSBTAT00000068013	ENSBTAE00000448427	8_0	bos_taurus	30	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000084232	ENSBTAE00000470347	16_0	ENSBTAT00000068013	ENSBTAE00000448427	8_0	bos_taurus	30	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000084232	ENSBTAE00000470347	16_0	ENSBTAT00000073787	ENSBTAE00000448427	8_0	bos_taurus	30	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000084232	ENSBTAE00000470347	16_0	ENSBTAT00000073787	ENSBTAE00000448427	8_0	bos_taurus	30	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000084232	ENSBTAE00000470347	16_0	ENSBTAT00000084232	ENSBTAE00000448427	8_0	bos_taurus	30	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000084232	ENSBTAE00000470347	16_0	ENSBTAT00000084232	ENSBTAE00000448427	8_0	bos_taurus	30	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000032743	ENSBTAE00000448427	8_0	ENSBTAT00000032743	ENSBTAE00000453162	10_0	bos_taurus	31	GSE43013						0.0																													0.0														1.6157657840977724e-06												
ENSBTAT00000032743	ENSBTAE00000448427	8_0	ENSBTAT00000032743	ENSBTAE00000453162	10_0	bos_taurus	31	GSE41637						0.0						1.3396452705106615e-06				3.4491841494364887e-07													0.0						0.0	0.0																1.7484249401348043e-08	0.0				2.12727713312312e-07				
ENSBTAT00000032743	ENSBTAE00000448427	8_0	ENSBTAT00000068013	ENSBTAE00000453162	10_0	bos_taurus	31	GSE43013						0.0																													0.0														1.6157657840977724e-06												
ENSBTAT00000032743	ENSBTAE00000448427	8_0	ENSBTAT00000068013	ENSBTAE00000453162	10_0	bos_taurus	31	GSE41637						0.0						1.3396452705106615e-06				3.4491841494364887e-07													0.0						0.0	0.0																1.7484249401348043e-08	0.0				2.12727713312312e-07				
ENSBTAT00000032743	ENSBTAE00000448427	8_0	ENSBTAT00000073787	ENSBTAE00000453162	10_0	bos_taurus	31	GSE43013						0.0																													0.0														1.6157657840977724e-06												
ENSBTAT00000032743	ENSBTAE00000448427	8_0	ENSBTAT00000073787	ENSBTAE00000453162	10_0	bos_taurus	31	GSE41637						0.0						1.3396452705106615e-06				3.4491841494364887e-07													0.0						0.0	0.0																1.7484249401348043e-08	0.0				2.12727713312312e-07				
ENSBTAT00000032743	ENSBTAE00000448427	8_0	ENSBTAT00000084232	ENSBTAE00000453162	10_0	bos_taurus	31	GSE43013						0.0																													0.0														1.6157657840977724e-06												
ENSBTAT00000032743	ENSBTAE00000448427	8_0	ENSBTAT00000084232	ENSBTAE00000453162	10_0	bos_taurus	31	GSE41637						0.0						1.3396452705106615e-06				3.4491841494364887e-07													0.0						0.0	0.0																1.7484249401348043e-08	0.0				2.12727713312312e-07				
ENSBTAT00000068013	ENSBTAE00000448427	8_0	ENSBTAT00000032743	ENSBTAE00000453162	10_0	bos_taurus	31	GSE43013						0.0																													0.0														1.6157657840977724e-06												
ENSBTAT00000068013	ENSBTAE00000448427	8_0	ENSBTAT00000032743	ENSBTAE00000453162	10_0	bos_taurus	31	GSE41637						0.0						1.3396452705106615e-06				3.4491841494364887e-07													0.0						0.0	0.0																1.7484249401348043e-08	0.0				2.12727713312312e-07				
ENSBTAT00000068013	ENSBTAE00000448427	8_0	ENSBTAT00000068013	ENSBTAE00000453162	10_0	bos_taurus	31	GSE43013						0.0																													0.0														1.6157657840977724e-06												
ENSBTAT00000068013	ENSBTAE00000448427	8_0	ENSBTAT00000068013	ENSBTAE00000453162	10_0	bos_taurus	31	GSE41637						0.0						1.3396452705106615e-06				3.4491841494364887e-07													0.0						0.0	0.0																1.7484249401348043e-08	0.0				2.12727713312312e-07				
ENSBTAT00000068013	ENSBTAE00000448427	8_0	ENSBTAT00000073787	ENSBTAE00000453162	10_0	bos_taurus	31	GSE43013						0.0																													0.0														1.6157657840977724e-06												
ENSBTAT00000068013	ENSBTAE00000448427	8_0	ENSBTAT00000073787	ENSBTAE00000453162	10_0	bos_taurus	31	GSE41637						0.0						1.3396452705106615e-06				3.4491841494364887e-07													0.0						0.0	0.0																1.7484249401348043e-08	0.0				2.12727713312312e-07				
ENSBTAT00000068013	ENSBTAE00000448427	8_0	ENSBTAT00000084232	ENSBTAE00000453162	10_0	bos_taurus	31	GSE43013						0.0																													0.0														1.6157657840977724e-06												
ENSBTAT00000068013	ENSBTAE00000448427	8_0	ENSBTAT00000084232	ENSBTAE00000453162	10_0	bos_taurus	31	GSE41637						0.0						1.3396452705106615e-06				3.4491841494364887e-07													0.0						0.0	0.0																1.7484249401348043e-08	0.0				2.12727713312312e-07				
ENSBTAT00000073787	ENSBTAE00000448427	8_0	ENSBTAT00000032743	ENSBTAE00000453162	10_0	bos_taurus	31	GSE43013						0.0																													0.0														1.6157657840977724e-06												
ENSBTAT00000073787	ENSBTAE00000448427	8_0	ENSBTAT00000032743	ENSBTAE00000453162	10_0	bos_taurus	31	GSE41637						0.0						1.3396452705106615e-06				3.4491841494364887e-07													0.0						0.0	0.0																1.7484249401348043e-08	0.0				2.12727713312312e-07				
ENSBTAT00000073787	ENSBTAE00000448427	8_0	ENSBTAT00000068013	ENSBTAE00000453162	10_0	bos_taurus	31	GSE43013						0.0																													0.0														1.6157657840977724e-06												
ENSBTAT00000073787	ENSBTAE00000448427	8_0	ENSBTAT00000068013	ENSBTAE00000453162	10_0	bos_taurus	31	GSE41637						0.0						1.3396452705106615e-06				3.4491841494364887e-07													0.0						0.0	0.0																1.7484249401348043e-08	0.0				2.12727713312312e-07				
ENSBTAT00000073787	ENSBTAE00000448427	8_0	ENSBTAT00000073787	ENSBTAE00000453162	10_0	bos_taurus	31	GSE43013						0.0																													0.0														1.6157657840977724e-06												
ENSBTAT00000073787	ENSBTAE00000448427	8_0	ENSBTAT00000073787	ENSBTAE00000453162	10_0	bos_taurus	31	GSE41637						0.0						1.3396452705106615e-06				3.4491841494364887e-07													0.0						0.0	0.0																1.7484249401348043e-08	0.0				2.12727713312312e-07				
ENSBTAT00000073787	ENSBTAE00000448427	8_0	ENSBTAT00000084232	ENSBTAE00000453162	10_0	bos_taurus	31	GSE43013						0.0																													0.0														1.6157657840977724e-06												
ENSBTAT00000073787	ENSBTAE00000448427	8_0	ENSBTAT00000084232	ENSBTAE00000453162	10_0	bos_taurus	31	GSE41637						0.0						1.3396452705106615e-06				3.4491841494364887e-07													0.0						0.0	0.0																1.7484249401348043e-08	0.0				2.12727713312312e-07				
ENSBTAT00000084232	ENSBTAE00000448427	8_0	ENSBTAT00000032743	ENSBTAE00000453162	10_0	bos_taurus	31	GSE43013						0.0																													0.0														1.6157657840977724e-06												
ENSBTAT00000084232	ENSBTAE00000448427	8_0	ENSBTAT00000032743	ENSBTAE00000453162	10_0	bos_taurus	31	GSE41637						0.0						1.3396452705106615e-06				3.4491841494364887e-07													0.0						0.0	0.0																1.7484249401348043e-08	0.0				2.12727713312312e-07				
ENSBTAT00000084232	ENSBTAE00000448427	8_0	ENSBTAT00000068013	ENSBTAE00000453162	10_0	bos_taurus	31	GSE43013						0.0																													0.0														1.6157657840977724e-06												
ENSBTAT00000084232	ENSBTAE00000448427	8_0	ENSBTAT00000068013	ENSBTAE00000453162	10_0	bos_taurus	31	GSE41637						0.0						1.3396452705106615e-06				3.4491841494364887e-07													0.0						0.0	0.0																1.7484249401348043e-08	0.0				2.12727713312312e-07				
ENSBTAT00000084232	ENSBTAE00000448427	8_0	ENSBTAT00000073787	ENSBTAE00000453162	10_0	bos_taurus	31	GSE43013						0.0																													0.0														1.6157657840977724e-06												
ENSBTAT00000084232	ENSBTAE00000448427	8_0	ENSBTAT00000073787	ENSBTAE00000453162	10_0	bos_taurus	31	GSE41637						0.0						1.3396452705106615e-06				3.4491841494364887e-07													0.0						0.0	0.0																1.7484249401348043e-08	0.0				2.12727713312312e-07				
ENSBTAT00000084232	ENSBTAE00000448427	8_0	ENSBTAT00000084232	ENSBTAE00000453162	10_0	bos_taurus	31	GSE43013						0.0																													0.0														1.6157657840977724e-06												
